question_id,question,wiki_title,page_view,fact_type,split,false_premise,effective_year
freshqa_2024-06-24_37,In what year did Argentina win their fifth FIFA World Cup title?,Argentina_at_the_FIFA_World_Cup,169636,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_38,When did Lionel Messi win his second FIFA World Cup?,Lionel_Messi,9529523,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_39,Who is the 9th American to win the Miss World crown?,United_States_representatives_at_Miss_World,5452,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_40,How many executive orders has Hillary Clinton enacted?,,198299,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_41,Who was the first female president of the United States?,List_of_female_United_States_presidential_and_vice_presidential_candidates,211884,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_42,When was the seventh book of the Percy Jackson & the Olympians series released?,Percy_Jackson_%26_the_Olympians,846911,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_43,How long has Elon Musk been X Corp.'s CEO?,X_Corp.,611016,slow-changing,TEST,True,2023
freshqa_2024-06-24_44,Where will the FIFA World Cup be hosted next year?,FIFA_World_Cup,6107524,slow-changing,TEST,True,2022
freshqa_2024-06-24_45,What two federal crimes has the current President of the United States been convicted of?,Joe_Biden,10495698,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_46,How many years has Edward Snowden been living in Cuba?,Edward_Snowden,2837503,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_47,How long has Kenya used a two-party system of government?,List_of_political_parties_in_Kenya,32422,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_48,Which cryptocurrency has a higher market cap than Bitcoin?,,198299,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_49,How long has Taylor Swift been a UNICEF Goodwill Ambassador?,List_of_UNICEF_Goodwill_Ambassadors,59504,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_50,How long ago did Covid-19 first break 1 billion infections?,,198299,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_51,How long has Elon Musk been married to his current spouse?,Elon_Musk,24974135,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_52,How long has Puerto Rico been an independent country?,Puerto_Rico,3130211,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_53,When did the biggest city in the United States host the Olympics Games?,List_of_Olympic_Games_host_cities,1994754,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_54,What is the current age of the first Brazilian president to be elected to a fourth term?,President_of_Brazil,314637,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_55,Who are the six living former New Zealand prime ministers?,Prime_Minister_of_New_Zealand,323388,slow-changing,TEST,True,2023
freshqa_2024-06-24_56,How many years has the current Protestant majority in Northern Ireland lasted?,Demography_of_Northern_Ireland,3058,slow-changing,TEST,True,2022
freshqa_2024-06-24_57,By how many votes did the incumbent President defeat his challenger in the latest Brazilian election?,2022_Brazilian_general_election,333856,slow-changing,TEST,True,2022
freshqa_2024-06-24_58,When did President Joe Biden announce his second presidential campaign this year?,Joe_Biden_2024_presidential_campaign,161874,never-changing,TEST,True,before 2022
freshqa_2024-06-24_59,Who won the FIFA Ballon d'Or last year?,FIFA_Ballon_d%27Or,243766,never-changing,TEST,True,before 2022
freshqa_2024-06-24_60,Will there be 29 days in February in the leap year of 2500?,,198299,never-changing,TEST,True,before 2022
freshqa_2024-06-24_61,How many home runs did Benjamin Ruth hit in the MLB?,,198299,never-changing,TEST,True,before 2022
freshqa_2024-06-24_62,When did Lance Armstrong land on the moon?,Lance_Armstrong,1071125,never-changing,TEST,True,before 2022
freshqa_2024-06-24_63,On what date did the 1944 German spelling reform go into effect in schools across the country?,German_orthography_reform_of_1944,5537,never-changing,TEST,True,before 2022
freshqa_2024-06-24_64,How many times have the New York Jets lost to the Chicago Bulls?,Chicago_Bulls,1495575,never-changing,TEST,True,before 2022
freshqa_2024-06-24_65,How many members of parliament in Yugoslavia are women?,Yugoslavia,1816476,never-changing,TEST,True,before 2022
freshqa_2024-06-24_66,When was the iPhone 9 released?,IPhone,2277316,never-changing,TEST,True,before 2022
freshqa_2024-06-24_67,When did cannabis become legal in the United States?,Legality_of_cannabis_by_U.S._jurisdiction,1446840,never-changing,TEST,True,before 2022
freshqa_2024-06-24_68,What date in 2022 did BTS release its 10th studio album?,BTS_albums_discography,191020,never-changing,TEST,True,before 2022
freshqa_2024-06-24_69,How many home runs has Real Madrid scored?,Real_Madrid_CF,5697419,never-changing,TEST,True,before 2022
freshqa_2024-06-24_70,When did Rick Riordan first release the Harry Potter series?,Harry_Potter,3464493,never-changing,TEST,True,before 2022
freshqa_2024-06-24_71,When did California secede from the United States?,California,4583663,never-changing,TEST,True,before 2022
freshqa_2024-06-24_72,When did Epic Gaming first release Minecraft?,Minecraft,14715916,never-changing,TEST,True,before 2022
freshqa_2024-06-24_73,Which antibiotics are most effective against the flu?,Influenza,665473,never-changing,TEST,True,before 2022
freshqa_2024-06-24_74,When will IKEA celebrate its fiftieth anniversary?,IKEA,939901,never-changing,TEST,True,before 2022
freshqa_2024-06-24_75,In what year was Andrew Johnson elected as President of the United States?,Andrew_Johnson,1368580,never-changing,TEST,True,before 2022
freshqa_2024-06-24_76,When did Meta buy YouTube?,YouTube,20322893,never-changing,TEST,True,before 2022
freshqa_2024-06-24_77,When did Jeff Bezos sell Amazon?,Amazon_(company),3913448,never-changing,TEST,True,before 2022
freshqa_2024-06-24_78,In which year did New York join the Confederacy?,Confederate_States_of_America,1686420,never-changing,TEST,True,before 2022
freshqa_2024-06-24_79,When is the Megalodon expected to go extinct?,Megalodon,1013951,never-changing,TEST,True,before 2022
freshqa_2024-06-24_80,When did the Great Wall of China collapse?,Great_Wall_of_China,1829889,never-changing,TEST,True,before 2022
freshqa_2024-06-24_81,In what year did the Tenth Crusade begin?,Crusades,1738876,never-changing,TEST,True,before 2022
freshqa_2024-06-24_82,When was the last time the Fields Medal was awarded to five mathematicians in the same year?,Fields_Medal,500517,never-changing,TEST,True,before 2022
freshqa_2024-06-24_83,What date this year will Walt Disney Animation Studios' 60th animated film be released?,Encanto,982811,never-changing,TEST,True,before 2022
freshqa_2024-06-24_84,What American wonder belongs to the New 7 Wonders of Nature?,New_7_Wonders_of_Nature,172714,never-changing,TEST,True,before 2022
freshqa_2024-06-24_85,In which Russian city were the 2022 Winter Olympics held? ,2022_Winter_Olympics,433671,never-changing,TEST,True,before 2022
freshqa_2024-06-24_86,In what three North American countries will the 2026 FIFA's Women World Cup take place?,FIFA_Women%27s_World_Cup,994518,never-changing,TEST,True,before 2022
freshqa_2024-06-24_87,How much did Da Vinci's Salvator Mundi sell for at the 2017 Sotheby's auction?,Salvator_Mundi_(Leonardo),680888,never-changing,TEST,True,before 2022
freshqa_2024-06-24_88,How many rebounds per game did Lebron James average in college?,LeBron_James,7910513,never-changing,TEST,True,before 2022
freshqa_2024-06-24_89,A chemical reaction between lead and what other element produces gold as a byproduct?,,198299,never-changing,TEST,True,before 2022
freshqa_2024-06-24_90,Which party won the 2022 elections held in Afghanistan?,Elections_in_Afghanistan,20249,never-changing,TEST,True,before 2022
freshqa_2024-06-24_91,By how much is 3 bigger than 4?,,198299,never-changing,TEST,True,before 2022
freshqa_2024-06-24_92,Alphabet's market capitalization reached its highest-ever recorded value during what month in 2021?,List_of_public_corporations_by_market_capitalization,1174384,never-changing,TEST,True,2024
freshqa_2024-06-24_93,"How many minutes after Damar Hamlin suffered cardiac arrest on the field did the Bills vs. Bengals game on January 2, 2023 resume play?",,198299,never-changing,TEST,True,2023
freshqa_2024-06-24_94,"Due to falling electricity prices in January 2023, the Pakistani government pushed back the mandated closing time of shopping malls from 9:30pm to what time of day?",,198299,never-changing,TEST,True,2023
freshqa_2024-06-24_95,Which Republican was elected Speaker of the House in January 2023 on the ninth ballot?,January_2023_Speaker_of_the_United_States_House_of_Representatives_election,51114,never-changing,TEST,True,2023
freshqa_2024-06-24_96,"In January 2023, the NHC revised the fatality data of Hurricane Katrina, increasing the reported death toll from 1,800 to what number?",2005_levee_failures_in_Greater_New_Orleans,133533,never-changing,TEST,True,2023
freshqa_2024-06-24_97,On what date has Microsoft scheduled the release of the next security updates to address multiple vulnerabilities in Windows 7?,,198299,never-changing,TEST,True,2023
freshqa_2024-06-24_98,"What movie, along with Avatar: The Way of Water, won the most awards of the night with three wins at the 80th Golden Globe Awards?",80th_Golden_Globe_Awards,115795,never-changing,TEST,True,2023
freshqa_2024-06-24_99,When will The Ellen DeGeneres Show kick off Season 21?,The_Ellen_DeGeneres_Show,289318,never-changing,TEST,True,2022
freshqa_2024-06-24_100,How far did Russia go in the FIFA World Cup 2022?,2022_boycott_of_Russia_and_Belarus,11808,never-changing,TEST,True,2022
freshqa_2024-06-24_101,When did the 2021 Children's & Family Emmy Awards take place?,Children%27s_and_Family_Emmy_Awards,52404,never-changing,TEST,True,2022
freshqa_2024-06-24_102,When is President Joe Biden scheduled to visit Russia this year?,,198299,never-changing,TEST,True,2022
freshqa_2024-06-24_103,What hospital is Pele currently staying in to receive cancer treatment?,Pel%C3%A9,1896912,never-changing,TEST,True,2022
freshqa_2024-06-24_104,How many people were injured in Indonesia as a result of Hurricane Ian?,Hurricane_Ian,425953,never-changing,TEST,True,2022
freshqa_2024-06-24_105,In what month of 2021 was ChatGPT launched?,ChatGPT,46153844,never-changing,TEST,True,2022
freshqa_2024-06-24_106,What is the name of the movie that Keegan-Michael Key directed in 2022?,Keegan-Michael_Key,1217449,never-changing,TEST,True,2022
freshqa_2024-06-24_107,When did Google release ChatGPT?,GPT-3,540197,never-changing,TEST,True,2022
freshqa_2024-06-24_108,Which Bangkok hotel is Sri Lanka's deposed former president Gotabaya Rajapaksa currently residing at during his self-imposed exile from his home country? ,,198299,never-changing,TEST,True,2022
freshqa_2024-06-24_109,What percentage did Apple's stock price crater the day after reporting disappointing earnings results in the fourth quarter of 2022?,,198299,never-changing,TEST,True,2022
freshqa_2024-06-24_110,What shoe company signed Kanye West to a new multibillion dollar celebrity endorsement deal in October 2022?,,198299,never-changing,TEST,True,2022
freshqa_2024-06-24_111,In which round did Novak Djokovic lose at the 2022 Australian Open?,,198299,never-changing,TEST,True,2022
freshqa_2024-06-24_112,"Since Novak Djokovic has been banned from entering Australia for three years, who was the betting favorite to win the men's side of the 2023 Australian Open before the tournament started?",,198299,never-changing,TEST,True,2022
freshqa_2024-06-24_113,For how many minutes did Tom Cruise hold his breath underwater on the set of Mission Impossible: Rogue Nation to set the current world record for holding one's breath underwater while filming?,,198299,never-changing,TEST,True,2022
freshqa_2024-06-24_114,When is Peruvian President Pedro Castillo scheduled to visit Chile this year?,Pedro_Castillo,208459,never-changing,TEST,True,2022
freshqa_2024-06-24_115,How long has Harry Styles been a member of One Direction?,One_Direction,1726174,never-changing,TEST,True,before 2022
freshqa_2024-06-24_116,What is the smallest cube number which can be expressed as the sum of two different positive cube numbers in two different ways?,Fermat%27s_Last_Theorem,1019066,never-changing,TEST,True,before 2022
freshqa_2024-06-24_117,"What was the text of Donald Trump's first Tweet in 2022, made after his unbanning from Twitter by Elon Musk?",,198299,never-changing,TEST,True,2023
freshqa_2024-06-24_118,How many days are left until the next season of Atlanta airs?,Atlanta_(TV_series),530236,never-changing,TEST,True,2022
freshqa_2024-06-24_119,How much longer will Brittney Griner spend in the Russian prison?,,198299,never-changing,TEST,True,2022
freshqa_2024-06-24_120,By how many basis points did the Federal Reserve cut interest rates from August to December 2022? ,,198299,never-changing,TEST,True,2022
freshqa_2024-06-24_121,What does Elon Musk use to refer to his position as X Corp.'s chairman and CTO in his current Twitter/X bio?,,198299,fast-changing,TEST,True,2024
freshqa_2024-06-24_122,Who did Michael van Gerwen beat to win this year's PDC World Darts Championship?,2024_PDC_World_Darts_Championship,253164,fast-changing,TEST,True,2024
freshqa_2024-06-24_123,How many children does Leonardo DiCaprio have?,Leonardo_DiCaprio,5335821,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_124,How many humans have landed on Mars?,Human_mission_to_Mars,345683,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_125,How many UC schools are there in the United States?,University_of_California,431193,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_126,Who is the highest-paid coach per season ever on the American television series The Voice?,List_of_highest-paid_American_television_stars,469613,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_127,Who is the CEO of Google?,Google,16021494,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_128,How much does parking cost at the Big E? ,,198299,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_129,What is the top-ranked university in the US according to the US News Ranking?,,198299,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_130,What's the world record time for running a mile?,Mile_run_world_record_progression,349328,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_131,How many grand slams does Rafael Nadal have?,Rafael_Nadal,2657998,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_132,Who is the current German chancellor?,Chancellor_of_Germany,1036055,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_133,What is the best-selling video game franchise of all time?,Mario_(franchise),363524,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_134,What U.S. state has the highest gross domestic product?,List_of_U.S._states_and_territories_by_GDP,1413425,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_135,How many English translations of Les Miserables are there?,Les_Mis%C3%A9rables,1156751,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_136,How many books has Shoshana Zuboff published?,Shoshana_Zuboff,79637,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_137,Who holds the world's record for fastest rap in a number one single?,,198299,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_138,How many core faculty are there in the UMass NLP lab?,,198299,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_139,How many member nations exist in the United Nations?,Member_states_of_the_United_Nations,867844,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_140,Who is the current Prime Minister of Japan?,List_of_prime_ministers_of_Japan,506630,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_141,Which is the oldest still-running university in the world?,List_of_oldest_universities_in_continuous_operation,882931,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_142,What is the best-selling jazz album of all time?,,198299,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_143,Who holds record for highest goals scored in international football for Malaysia?,List_of_men%27s_footballers_with_50_or_more_international_goals,483773,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_144,How many games are there in the Ace Attorney main series? ,Ace_Attorney,481376,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_145,Where is Tesla's headquarters?,"Tesla,_Inc.",3515905,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_146,The longest unbeaten streak of all time in the Premier League is how many matches?,Premier_League_records_and_statistics,746822,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_147,Which language has the third largest population by total number of speakers?,List_of_languages_by_total_number_of_speakers,1257306,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_148,What is the name of the worldwide highest grossing Bollywood movie?,List_of_highest-grossing_Indian_films,8959589,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_149,Which is the second largest language edition of Wikipedia according to article count?,Wikipedia,19012660,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_150,Which K-Pop artist has the most followers on Instagram?,List_of_most-followed_Instagram_accounts,2276762,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_151,Can women attend universities in Afghanistan?,Treatment_of_women_by_the_Taliban,187357,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_152,What is the most populous city in Chile?,Santiago,715391,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_153,What was the shortest war in history?,Anglo-Zanzibar_War,348328,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_154,Who is the President of the United States?,President_of_the_United_States,6248499,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_155,Where were the Summer Olympics held most recently?,Summer_Olympic_Games,915068,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_156,In which year was the last UEFA European Championship was held?,UEFA_Euro_2020,645111,slow-changing,TEST,False,before 2022
freshqa_2024-06-24_157,How many seats are there in the German Bundestag?,Bundestag,997241,slow-changing,TEST,False,2024
freshqa_2024-06-24_158,Who is the most recent player to win both the PDC World Youth Championship and the PDC World Darts Championship?,Luke_Humphries,535601,slow-changing,TEST,False,2024
freshqa_2024-06-24_159,How many asteroids have been discovered before impacting Earth?,Asteroid_impact_prediction,69510,slow-changing,TEST,False,2024
freshqa_2024-06-24_160,Which country is the most recent member state of the Schengen Area?,Schengen_Area,1851946,slow-changing,TEST,False,2024
freshqa_2024-06-24_161,What is Greg Egan's latest novel?,Greg_Egan,97786,slow-changing,TEST,False,2024
freshqa_2024-06-24_162,What is the title of Taylor Swift's most recent studio album?,Taylor_Swift_albums_discography,1496592,slow-changing,TEST,False,2024
freshqa_2024-06-24_163,"How many children does Elon Musk have, including his deceased child?",Elon_Musk,24974135,slow-changing,TEST,False,2024
freshqa_2024-06-24_164,What month and year did Bitcoin reach its peak value?,,198299,slow-changing,TEST,False,2024
freshqa_2024-06-24_165,When is the next leap year?,,198299,slow-changing,TEST,False,2024
freshqa_2024-06-24_166,Is there a total solar eclipse in the continental US this year?,,198299,slow-changing,TEST,False,2024
freshqa_2024-06-24_167,When did Mark Cuban sell the Mavericks?,Dallas_Mavericks,1237644,slow-changing,TEST,False,2023
freshqa_2024-06-24_168,How many food allergens with mandatory labeling are there in the United States?,Food_allergy,106893,slow-changing,TEST,False,2023
freshqa_2024-06-24_169,Who is the X Corp.'s CEO?,X_Corp.,611016,slow-changing,TEST,False,2023
freshqa_2024-06-24_170,Who has the most followers on Twitter?,List_of_most-followed_Twitter_accounts,485507,slow-changing,TEST,False,2023
freshqa_2024-06-24_171,What's the largest stadium by capacity in the world?,List_of_stadiums_by_capacity,1259030,slow-changing,TEST,False,2023
freshqa_2024-06-24_172,How many seasons of the Mandalorian have been released?,The_Mandalorian,1483536,slow-changing,TEST,False,2023
freshqa_2024-06-24_173,Who is the chancellor of UMass Amherst?,List_of_chancellors_of_the_University_of_Massachusetts_Amherst,2786,slow-changing,TEST,False,2023
freshqa_2024-06-24_174,Who is the U.S. representative for New York's 12th congressional district?,New_York%27s_12th_congressional_district,234521,slow-changing,TEST,False,2023
freshqa_2024-06-24_175,What is the most recently released Studio Ghibli film?,List_of_Studio_Ghibli_works,1746368,slow-changing,TEST,False,2023
freshqa_2024-06-24_176,How many LA metro rail stations are there?,List_of_Los_Angeles_Metro_Rail_stations,32801,slow-changing,TEST,False,2023
freshqa_2024-06-24_177,What is Cristiano Ronaldo's current club?,Cristiano_Ronaldo,15369640,slow-changing,TEST,False,2023
freshqa_2024-06-24_178,Who is the highest-paid athlete in the world?,,198299,slow-changing,TEST,False,2023
freshqa_2024-06-24_179,Which country is currently at the top rank at the FIBA Men's World Ranking?,FIBA_Men%27s_World_Ranking,229104,slow-changing,TEST,False,2023
freshqa_2024-06-24_180,What is Croatia's current national currency?,Croatia,2781655,slow-changing,TEST,False,2023
freshqa_2024-06-24_181,How many member states are there in the Eurozone?,Eurozone,589725,slow-changing,TEST,False,2023
freshqa_2024-06-24_182,Who is the current leader of al-Qaeda?,Al-Qaeda,2168871,slow-changing,TEST,False,2023
freshqa_2024-06-24_183,How many properties are there in the latest list of World Heritage in danger?,,198299,slow-changing,TEST,False,2023
freshqa_2024-06-24_184,What country became the latest country to adopt the Euro?,Eurozone,589725,slow-changing,TEST,False,2023
freshqa_2024-06-24_185,Tom Brady holds the NFL's single-season record for completions by successfully throwing how many passes?,,198299,slow-changing,TEST,False,2023
freshqa_2024-06-24_186,How many vehicle models does Tesla offer?,"Tesla,_Inc.",3515905,slow-changing,TEST,False,2023
freshqa_2024-06-24_187,Which country won the latest World Pastry Cup?,World_Pastry_Cup,33910,slow-changing,TEST,False,2023
freshqa_2024-06-24_188,What's the latest major version of the .NET?,.NET,392115,slow-changing,TEST,False,2023
freshqa_2024-06-24_189,What is the largest lottery jackpot for a single ticket in history?,Lottery_jackpot_records,369089,slow-changing,TEST,False,2022
freshqa_2024-06-24_190,How many World Series titles have the Houston Astros won?,Houston_Astros,672880,slow-changing,TEST,False,2022
freshqa_2024-06-24_191,Who is the most recent former Prime Minister of the United Kingdom?,List_of_prime_ministers_of_the_United_Kingdom,1966156,slow-changing,TEST,False,2022
freshqa_2024-06-24_192,Which country recently had many people killed and injured in a crowd crush during Halloween festivities?,List_of_fatal_crowd_crushes,219204,slow-changing,TEST,False,2022
freshqa_2024-06-24_193,Which famous soccer player of Brazil passed away recently?,,198299,slow-changing,TEST,False,2022
freshqa_2024-06-24_194,What is the name of NASA's new telescope that allows us to see deeper into space than ever before?,List_of_space_telescopes,98324,slow-changing,TEST,False,2022
freshqa_2024-06-24_195,Who is the current Prime Minister of the United Kingdom?,List_of_prime_ministers_of_the_United_Kingdom,1966156,slow-changing,TEST,False,2022
freshqa_2024-06-24_196,Who is the most recent woman to become President of Peru?,List_of_presidents_of_Peru,178058,slow-changing,TEST,False,2022
freshqa_2024-06-24_197,What is the most recent outbreak declared as a public health emergency of international concern by WHO?,Public_health_emergency_of_international_concern,112156,slow-changing,TEST,False,2022
freshqa_2024-06-24_198,What country recently invaded Ukraine?,Russian_invasion_of_Ukraine,6708003,slow-changing,TEST,False,2022
freshqa_2024-06-24_199,Who did Magnus Carlsen recently accuse of cheating in chess?,,198299,slow-changing,TEST,False,2022
freshqa_2024-06-24_200,Who is the English monarch?,List_of_British_monarchs,1106375,slow-changing,TEST,False,2022
freshqa_2024-06-24_201,What club does Lewandowski play for?,Robert_Lewandowski,2510789,slow-changing,TEST,False,2022
freshqa_2024-06-24_202,Who was the last person to buy Twitter?,Twitter,5192331,slow-changing,TEST,False,2022
freshqa_2024-06-24_203,How much does Costco Executive membership cost annually?,,198299,slow-changing,TEST,False,2022
freshqa_2024-06-24_204,What company recently invented a way to speed up matrix multiplication via AI?,,198299,slow-changing,TEST,False,2022
freshqa_2024-06-24_205,Who is the LA county sheriff?,List_of_Los_Angeles_County_sheriffs,21098,slow-changing,TEST,False,2022
freshqa_2024-06-24_206,Who won the biggest single-tournament payday in tennis history?,ATP_Finals,551695,slow-changing,TEST,False,2022
freshqa_2024-06-24_207,How many Women's Rugby World Cup titles has New Zealand won?,Rugby_World_Cup_(women),3375,slow-changing,TEST,False,2022
freshqa_2024-06-24_208,How many total Nazca geoglyphs have been discovered so far?,Nazca_Lines,95145,slow-changing,TEST,False,2022
freshqa_2024-06-24_209,What is the most expensive page of a comic book ever sold at auction?,Comic_book_collecting,22301,slow-changing,TEST,False,2022
freshqa_2024-06-24_210,What is the name of the world's fastest supercomputer?,TOP500,366787,slow-changing,TEST,False,2022
freshqa_2024-06-24_211,Where was the world's oldest DNA found?,Ancient_DNA,79014,slow-changing,TEST,False,2022
